gene_name,gene_type
SNORD115-21,snoRNA
RNU1-47P,snRNA
RNA5SP150,rRNA
Y_RNA,misc_RNA
RNA5SP358,rRNA_pseudogene
RNA5SP375,rRNA_pseudogene
RNU1-72P,snRNA
RNU5F-6P,snRNA
U3,snoRNA
RNU6-490P,snRNA
U3,snoRNA
AC096743.1,snoRNA
RNU6-1120P,snRNA
RNU6-582P,snRNA
Y_RNA,misc_RNA
RNU6-495P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-942P,snRNA
RNA5SP452,rRNA_pseudogene
Y_RNA,misc_RNA
RN7SKP149,misc_RNA
RNVU1-22,snRNA
RNU6-888P,snRNA
Y_RNA,misc_RNA
RN7SKP90,misc_RNA
Y_RNA,misc_RNA
RNU6-330P,snRNA
RNU6-249P,snRNA
Y_RNA,misc_RNA
RNU1-17P,snRNA
AC093872.1,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-1273P,snRNA
RNU6-492P,snRNA
RNU5B-2P,snRNA
RNA5S10,rRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
SNORD114-16,snoRNA
RNU4-44P,snRNA
RNU6-161P,snRNA
RNU6-1252P,snRNA
AC025614.1,snoRNA
RNA5SP405,rRNA_pseudogene
RNU1-18P,snRNA
RNY1P16,misc_RNA
SNORD81,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RN7SKP75,misc_RNA
SNORD114-19,snoRNA
RNU6-653P,snRNA
Y_RNA,misc_RNA
RNA5SP443,rRNA
AL359273.1,snoRNA
SNORD115-14,snoRNA
SNORD1B,snoRNA
Y_RNA,misc_RNA
RNU6-605P,snRNA
Y_RNA,misc_RNA
SNORD115-19,snoRNA
SNORD115-3,snoRNA
RNU6-797P,snRNA
RN7SKP243,misc_RNA
SNORA73,snoRNA
Y_RNA,misc_RNA
RNA5SP264,rRNA_pseudogene
RNU6-486P,snRNA
VTRNA1-1,misc_RNA
RNA5SP145,rRNA_pseudogene
RNU6-986P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-623P,snRNA
RNA5SP448,rRNA_pseudogene
Y_RNA,misc_RNA
U8,snoRNA
RNA5SP98,rRNA_pseudogene
RNU6-642P,snRNA
RNU6-403P,snRNA
RNU4-73P,snRNA
RNA5SP65,rRNA_pseudogene
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RN7SKP115,misc_RNA
RNU6-812P,snRNA
Y_RNA,misc_RNA
AC011399.1,snoRNA
Y_RNA,misc_RNA
RN7SKP63,misc_RNA
RNA5SP218,rRNA_pseudogene
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU4-58P,snRNA
AC061992.1,snoRNA
RNY4P9,misc_RNA
Y_RNA,misc_RNA
RNU4-80P,snRNA
AL138691.1,snoRNA
AC022973.1,snoRNA
RNA5SP326,rRNA_pseudogene
SNORD68,snoRNA
Y_RNA,misc_RNA
RNU6-433P,snRNA
SNORA73B,snoRNA
SNORD114-31,snoRNA
Y_RNA,misc_RNA
RN7SKP163,misc_RNA
RNU6-181P,snRNA
RNU6-1167P,snRNA
RNU6-508P,snRNA
RNU6-252P,snRNA
RNU6-251P,snRNA
RNU6-984P,snRNA
RNU6-1249P,snRNA
RNU6-774P,snRNA
AC012157.1,snoRNA
AC078843.1,snoRNA
RNA5SP123,rRNA_pseudogene
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RN7SKP77,misc_RNA
RNU6-1021P,snRNA
Y_RNA,misc_RNA
RNY1P10,misc_RNA
RNU6-778P,snRNA
Y_RNA,misc_RNA
RNU6-544P,snRNA
AL132709.1,snoRNA
RN7SKP231,misc_RNA
RNU6-216P,snRNA
RNU6-23P,snRNA
RNU5B-1,snRNA
RN7SKP145,misc_RNA
Y_RNA,misc_RNA
SNORD115-18,snoRNA
Y_RNA,misc_RNA
RNA5SP350,rRNA_pseudogene
RNU5D-1,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-1309P,snRNA
RNU1-19P,snRNA
Y_RNA,misc_RNA
RNU6-238P,snRNA
RNU1-20P,snRNA
RNU6-832P,snRNA
U8,snoRNA
RNU1-21P,snRNA
RN7SKP211,misc_RNA
Y_RNA,misc_RNA
RNU1-22P,snRNA
AC016180.1,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNY4P27,misc_RNA
RNU6-992P,snRNA
SNORD113-6,snoRNA
RNU6-745P,snRNA
RNU6-839P,snRNA
RNU6-697P,snRNA
RNU6-179P,snRNA
U3,snoRNA
RNU6-626P,snRNA
RNA5SP382,rRNA_pseudogene
RNA5SP197,rRNA_pseudogene
RNU1-23P,snRNA
AC116353.1,snoRNA
SNORA70,snoRNA
RNA5SP133,rRNA_pseudogene
Y_RNA,misc_RNA
RN7SKP79,misc_RNA
RNA5SP263,rRNA_pseudogene
RNU6-254P,snRNA
RNA5SP214,rRNA_pseudogene
RNU6-1147P,snRNA
Y_RNA,misc_RNA
RNU6-529P,snRNA
RNU6-536P,snRNA
Y_RNA,misc_RNA
RNU6-97P,snRNA
SNORD35A,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-66P,snRNA
RNU6-838P,snRNA
RNU4-32P,snRNA
RNA5SP199,rRNA_pseudogene
RNA5SP352,rRNA_pseudogene
SNORD114-10,snoRNA
RNU6-624P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
AC026355.1,snoRNA
Y_RNA,misc_RNA
RNA5SP393,rRNA_pseudogene
AL607035.1,snoRNA
RNU6-527P,snRNA
RNU1-83P,snRNA
Y_RNA,misc_RNA
RNA5SP483,rRNA_pseudogene
RNU6-940P,snRNA
RNU6-1255P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP215,rRNA_pseudogene
RN7SKP255,misc_RNA
RNA5-8SP7,rRNA_pseudogene
Y_RNA,misc_RNA
SNORD3P1,snoRNA
SNORA63,snoRNA
Y_RNA,misc_RNA
RNA5SP391,rRNA_pseudogene
RNA5SP62,rRNA_pseudogene
RNU6-183P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP333,rRNA_pseudogene
RNU1-49P,snRNA
RNU1-105P,snRNA
RNA5S8,rRNA
Y_RNA,misc_RNA
RNU6-485P,snRNA
RNU6-1285P,snRNA
Y_RNA,misc_RNA
SNORA71D,snoRNA
SNORA72,snoRNA
RNU6-833P,snRNA
RNU6-792P,snRNA
Y_RNA,misc_RNA
RNU6-511P,snRNA
SNORD113-8,snoRNA
RNU6-666P,snRNA
RNA5S17,rRNA
RNU5E-8P,snRNA
RNU5E-10P,snRNA
AC012501.1,snoRNA
RNU5B-4P,snRNA
RN7SKP45,misc_RNA
RNA5S4,rRNA
AL136296.1,snoRNA
RNU6-618P,snRNA
RNU6-509P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-698P,snRNA
SNORA38B,snoRNA
Y_RNA,misc_RNA
SNORD115-24,snoRNA
RNU6-1099P,snRNA
SNORD114-23,snoRNA
RNU6-1169P,snRNA
RNA5SP74,rRNA_pseudogene
RNA5SP346,rRNA_pseudogene
SNORD114-26,snoRNA
SNORA63B,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
AL590229.1,snoRNA
RNU6-1155P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU4-81P,snRNA
Y_RNA,misc_RNA
RNA5-8SP2,rRNA_pseudogene
Y_RNA,misc_RNA
RNU6-799P,snRNA
RNU6-1066P,snRNA
RNU6-1339P,snRNA
RNU6-1085P,snRNA
Y_RNA,misc_RNA
RNU6-1112P,snRNA
RNU6-1097P,snRNA
RNU6-727P,snRNA
SNORD118,snoRNA
RNA5SP403,rRNA_pseudogene
RNU6-112P,snRNA
RNU6-1125P,snRNA
RN7SKP44,misc_RNA
RNA5SP507,rRNA_pseudogene
RN7SKP162,misc_RNA
SNORD115-41,snoRNA
SNORD114-28,snoRNA
RNU6-1017P,snRNA
RNU6-1244P,snRNA
Y_RNA,misc_RNA
SNORD115-11,snoRNA
RNA5SP322,rRNA_pseudogene
RN7SKP203,misc_RNA
U3,snoRNA
Y_RNA,misc_RNA
RNU6-1205P,snRNA
U8,snoRNA
Y_RNA,misc_RNA
SNORD115-5,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP378,rRNA_pseudogene
RNU6-1214P,snRNA
Y_RNA,misc_RNA
RNU6-957P,snRNA
RNU6-1209P,snRNA
RNY4P14,misc_RNA
RNA5SP457,rRNA_pseudogene
RNU6-1331P,snRNA
SNORD35B,snoRNA
SNORA33,snoRNA
AL137790.1,snoRNA
RNY4P6,misc_RNA
U3,snoRNA
Y_RNA,misc_RNA
U3,snoRNA
Y_RNA,misc_RNA
RNU6-137P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-1020P,snRNA
RNU6-525P,snRNA
RNU6-103P,snRNA
RNA5SP429,rRNA_pseudogene
RNU6-288P,snRNA
RNU6-640P,snRNA
SNORD115-39,snoRNA
RNU5F-7P,snRNA
RNU6-829P,snRNA
RNU6-1284P,snRNA
Y_RNA,misc_RNA
RNU6-414P,snRNA
Y_RNA,misc_RNA
RNA5SP514,rRNA_pseudogene
Y_RNA,misc_RNA
SNORD115-33,snoRNA
RNU6-824P,snRNA
RNVU1-33,snRNA
Y_RNA,misc_RNA
RNA5SP50,rRNA_pseudogene
Y_RNA,misc_RNA
SNORD114-11,snoRNA
Y_RNA,misc_RNA
SNORD114-25,snoRNA
RNA5SP349,rRNA_pseudogene
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP447,rRNA_pseudogene
AC112497.1,snoRNA
RNU6-1059P,snRNA
SNORD18A,snoRNA
RNA5S6,rRNA
RNA5SP325,rRNA_pseudogene
RNY1P11,misc_RNA
Y_RNA,misc_RNA
SNORD113-7,snoRNA
Y_RNA,misc_RNA
SNORD114-27,snoRNA
RNU5F-3P,snRNA
SNORD115-37,snoRNA
RNU6-1210P,snRNA
Y_RNA,misc_RNA
RNU6-226P,snRNA
RNA5SP114,rRNA_pseudogene
Y_RNA,misc_RNA
AC136611.1,snoRNA
RNU4-92P,snRNA
SNORA5B,snoRNA
SNORD116-10,snoRNA
Y_RNA,misc_RNA
RNU6-1188P,snRNA
RNU6-912P,snRNA
RN7SKP174,misc_RNA
RN7SKP160,misc_RNA
SNORD18,snoRNA
SNORD115-4,snoRNA
RNU6-263P,snRNA
RNU6-379P,snRNA
Y_RNA,misc_RNA
RNY3P3,misc_RNA
RNA5SP335,rRNA_pseudogene
Y_RNA,misc_RNA
U3,snoRNA
RNU6-674P,snRNA
Y_RNA,misc_RNA
RNU6-873P,snRNA
AL033518.1,snoRNA
RN7SKP93,misc_RNA
RNA5SP27,rRNA_pseudogene
RNA5SP28,rRNA_pseudogene
RNU6-682P,snRNA
Y_RNA,misc_RNA
RN7SKP103,misc_RNA
RNA5SP260,rRNA_pseudogene
RNU6-931P,snRNA
SNORD115-8,snoRNA
RNU6-271P,snRNA
RNU1-124P,snRNA
RNU6-194P,snRNA
AL355821.1,snoRNA
Y_RNA,misc_RNA
RNA5SP472,rRNA_pseudogene
RNA5SP161,rRNA_pseudogene
Y_RNA,misc_RNA
RNU1-31P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
AC004130.1,snoRNA
Y_RNA,misc_RNA
RNA5SP68,rRNA_pseudogene
RNU6-236P,snRNA
SNORD115-16,snoRNA
RNU6-884P,snRNA
RN7SKP113,misc_RNA
RNU6-961P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-478P,snRNA
RNU6-105P,snRNA
RN7SKP180,misc_RNA
SNORD8,snoRNA
RNA5SP234,rRNA_pseudogene
Y_RNA,misc_RNA
RNU1-65P,snRNA
RNU6-631P,snRNA
SNORA80A,snoRNA
RN7SKP250,misc_RNA
RNU4-1,snRNA
RNU6-753P,snRNA
RNU6-770P,snRNA
RNU1-130P,snRNA
SNORD115-28,snoRNA
RNA5SP275,rRNA_pseudogene
RNU1-32P,snRNA
SNORD115-6,snoRNA
RNU6-595P,snRNA
RNU6-1091P,snRNA
SNORA38,snoRNA
RNU6-899P,snRNA
RNU6-1204P,snRNA
Y_RNA,misc_RNA
SNORD114-2,snoRNA
RNU6-324P,snRNA
Y_RNA,misc_RNA
RN7SKP134,misc_RNA
SNORD36B,snoRNA
SNORD114-4,snoRNA
Y_RNA,misc_RNA
RNA5SP48,rRNA_pseudogene
RNU6-82P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP499,rRNA_pseudogene
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RN7SKP36,misc_RNA
RNU6-457P,snRNA
RNU6-810P,snRNA
RNA5SP456,rRNA_pseudogene
RNA5SP399,rRNA_pseudogene
Y_RNA,misc_RNA
RNU6-340P,snRNA
RNU6-560P,snRNA
SNORD14E,snoRNA
RNU6-681P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU1-146P,snRNA
RNU6-598P,snRNA
Y_RNA,misc_RNA
RNU4-13P,snRNA
RNA5SP99,rRNA_pseudogene
AC063965.1,snoRNA
RNU6-944P,snRNA
RN7SKP245,misc_RNA
AC009774.1,snoRNA
RNU6-1243P,snRNA
RNU6-627P,snRNA
RNU1-42P,snRNA
RNU6-854P,snRNA
SNORD46,snoRNA
RNA5SP435,rRNA_pseudogene
RNU6-553P,snRNA
Y_RNA,misc_RNA
RNU6-1048P,snRNA
RNU6-960P,snRNA
RNU6-1090P,snRNA
RNU6-694P,snRNA
RNU6-501P,snRNA
SNORD115-32,snoRNA
Y_RNA,misc_RNA
RNU6-801P,snRNA
SNORA74A,snoRNA
RNU6-289P,snRNA
RN7SKP87,misc_RNA
AL158154.1,snoRNA
RNU5A-8P,snRNA
RNU4-87P,snRNA
RNU1-7P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
SNORA3A,snoRNA
RNA5SP493,rRNA_pseudogene
RNU6-819P,snRNA
SNORD115-30,snoRNA
AC012291.1,snoRNA
RNVU1-34,snRNA
Y_RNA,misc_RNA
AC107390.1,snoRNA
RNA5SP516,rRNA_pseudogene
RNU6-270P,snRNA
AL049745.1,snoRNA
Y_RNA,misc_RNA
AC009365.1,snoRNA
RN7SKP224,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP232,rRNA_pseudogene
RNU6-280P,snRNA
RNU6-374P,snRNA
RNU6-743P,snRNA
RNY3P11,misc_RNA
SNORD74B,snoRNA
Y_RNA,misc_RNA
RN7SKP107,misc_RNA
RNU6-151P,snRNA
Y_RNA,misc_RNA
RNU6-704P,snRNA
RNU1-96P,snRNA
Y_RNA,misc_RNA
RNA5SP469,rRNA_pseudogene
AL132709.2,snoRNA
RNA5SP242,rRNA_pseudogene
AC087863.1,snoRNA
RNU6-268P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-668P,snRNA
RNA5SP336,rRNA_pseudogene
RNU6-461P,snRNA
RN7SKP280,misc_RNA
RNU4-84P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU4-51P,snRNA
RNU6-188P,snRNA
RN7SKP214,misc_RNA
Y_RNA,misc_RNA
RNU6-173P,snRNA
RNA5SP394,rRNA_pseudogene
Y_RNA,misc_RNA
RNU6-266P,snRNA
RNA5SP387,rRNA_pseudogene
RNU6-366P,snRNA
RNY1,misc_RNA
Y_RNA,misc_RNA
RNU6-11P,snRNA
RNA5SP245,rRNA_pseudogene
RNU6-647P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU1-33P,snRNA
RNY1P12,misc_RNA
SNORA58B,snoRNA
AC004830.1,snoRNA
Y_RNA,misc_RNA
RNU6-777P,snRNA
RNU6-353P,snRNA
RN7SKP128,misc_RNA
RNU1-151P,snRNA
SNORD115-42,snoRNA
RNA5SP175,rRNA_pseudogene
RNA5SP42,rRNA_pseudogene
AL135844.1,snoRNA
RNU6-371P,snRNA
RNU1-24P,snRNA
SNORA62,snoRNA
Y_RNA,misc_RNA
RN7SKP10,misc_RNA
RNU6-454P,snRNA
RNU4-36P,snRNA
RNU6-1229P,snRNA
RNA5SP368,rRNA_pseudogene
RNU1-132P,snRNA
RNU6-853P,snRNA
Y_RNA,misc_RNA
RNU6-1322P,snRNA
RNU6-115P,snRNA
RNU6-670P,snRNA
RNVU1-3,snRNA
RNU4-68P,snRNA
RNA5SP202,rRNA_pseudogene
RNU4-33P,snRNA
Y_RNA,misc_RNA
RNU6-879P,snRNA
RN7SKP118,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
SNORD42,snoRNA
RNA5SP139,rRNA_pseudogene
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU4-40P,snRNA
RNU6-1305P,snRNA
Y_RNA,misc_RNA
SNORA63D,snoRNA
RNU4-50P,snRNA
Y_RNA,misc_RNA
SNORD114-9,snoRNA
RNU6-978P,snRNA
RNY1P1,misc_RNA
RNU6-654P,snRNA
AL137139.1,snoRNA
SNORD114-13,snoRNA
RNU4-10P,snRNA
RNU6-990P,snRNA
RNU6-1075P,snRNA
SNORD114-6,snoRNA
SNORD73B,snoRNA
RNU6-755P,snRNA
RNU1-112P,snRNA
RNU6-776P,snRNA
RNA5SP192,rRNA_pseudogene
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP524,rRNA
RN7SKP171,misc_RNA
RNU6-1047P,snRNA
RN7SKP76,misc_RNA
RNU1-34P,snRNA
RNU6-153P,snRNA
RNU6-1019P,snRNA
RNU4-41P,snRNA
Y_RNA,misc_RNA
RNU6-1164P,snRNA
SNORD115-27,snoRNA
RNA5SP130,rRNA_pseudogene
SNORA65,snoRNA
RNU6-512P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP72,rRNA_pseudogene
Y_RNA,misc_RNA
RN7SKP227,misc_RNA
AC090919.1,snoRNA
RNU4-59P,snRNA
SNORD114-30,snoRNA
RNA5S9,rRNA
RNU6-361P,snRNA
RNA5SP142,rRNA_pseudogene
SNORD115-22,snoRNA
U3,snoRNA
SNORD32B,snoRNA
SNORD115-23,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-421P,snRNA
RNU4-38P,snRNA
Y_RNA,misc_RNA
U3,snoRNA
RNA5SP69,rRNA_pseudogene
RNU105B,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5S14,rRNA
RNA5SP500,rRNA_pseudogene
RN7SKP193,misc_RNA
RNA5SP433,rRNA_pseudogene
Y_RNA,misc_RNA
RN7SKP37,misc_RNA
Y_RNA,misc_RNA
RNU6-522P,snRNA
U3,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-1251P,snRNA
SNORA70,snoRNA
RNY4P23,misc_RNA
RNU4-76P,snRNA
RNU6-558P,snRNA
AC007375.1,snoRNA
RNU6-1163P,snRNA
SNORA68B,snoRNA
RNU6-1141P,snRNA
RNU6-1078P,snRNA
SNORA71,snoRNA
RNA5SP140,rRNA_pseudogene
RN7SKP257,misc_RNA
U8,snoRNA
SNORD14B,snoRNA
Y_RNA,misc_RNA
AC079169.1,snoRNA
AC107024.1,snoRNA
Y_RNA,misc_RNA
RNA5SP141,rRNA_pseudogene
RNA5SP204,rRNA_pseudogene
RNA5SP512,rRNA_pseudogene
Y_RNA,misc_RNA
RN7SKP246,misc_RNA
Y_RNA,misc_RNA
RN7SKP71,misc_RNA
RNU6-1277P,snRNA
Y_RNA,misc_RNA
RNU6-335P,snRNA
RNU4-24P,snRNA
RNU6-660P,snRNA
RNU4-67P,snRNA
RNA5SP515,rRNA_pseudogene
RNU6-646P,snRNA
Y_RNA,misc_RNA
RNU6-309P,snRNA
RNU6-1082P,snRNA
RNA5SP509,rRNA_pseudogene
SNORA63C,snoRNA
Y_RNA,misc_RNA
RNU6-1317P,snRNA
SNORA55,snoRNA
RNU4-4P,snRNA
Y_RNA,misc_RNA
AC083867.1,snoRNA
Y_RNA,misc_RNA
AL732371.1,snoRNA
RNA5SP379,rRNA_pseudogene
RNY4P7,misc_RNA
RNU6-164P,snRNA
RNA5SP353,rRNA_pseudogene
SNORD115-17,snoRNA
Y_RNA,misc_RNA
SNORD45B,snoRNA
Y_RNA,misc_RNA
RNU4-75P,snRNA
RNA5SP78,rRNA_pseudogene
RNU1-141P,snRNA
RN7SKP275,misc_RNA
Y_RNA,misc_RNA
RNU6-312P,snRNA
AL132709.3,snoRNA
Y_RNA,misc_RNA
AC126172.1,snoRNA
RN7SKP217,misc_RNA
Y_RNA,misc_RNA
SNORA71C,snoRNA
AC093605.1,snoRNA
RNU6-707P,snRNA
RNA5SP513,rRNA_pseudogene
RNU6-645P,snRNA
RNA5SP205,rRNA_pseudogene
RNU6-450P,snRNA
RNA5SP478,rRNA_pseudogene
Y_RNA,misc_RNA
RNA5SP194,rRNA
RN7SKP237,misc_RNA
Y_RNA,misc_RNA
AC004125.1,snoRNA
SNORA62,snoRNA
SNORA16B,snoRNA
RNU4-85P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-726P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
SNORD114-15,snoRNA
RNVU1-6,snRNA
RNU6-973P,snRNA
Y_RNA,misc_RNA
RN7SKP50,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP510,rRNA_pseudogene
SNORD114-17,snoRNA
RNU4-56P,snRNA
Y_RNA,misc_RNA
RNU1-93P,snRNA
RNU6-343P,snRNA
RN7SKP78,misc_RNA
RN7SKP191,misc_RNA
Y_RNA,misc_RNA
RNU6-593P,snRNA
RNA5S2,rRNA
RNU6-99P,snRNA
AL732366.1,snoRNA
RNA5SP517,rRNA_pseudogene
RNA5SP132,rRNA_pseudogene
Y_RNA,misc_RNA
RNU6-219P,snRNA
RN7SKP124,misc_RNA
Y_RNA,misc_RNA
RNU6-740P,snRNA
RNU4-16P,snRNA
RNU4-42P,snRNA
RNU4-28P,snRNA
RNA5SP84,rRNA_pseudogene
RN7SKP15,misc_RNA
RNU6-200P,snRNA
RNU1-91P,snRNA
RNA5SP505,rRNA_pseudogene
AL512326.1,snoRNA
RNA5SP51,rRNA_pseudogene
RNU6-621P,snRNA
RNU6-923P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU4-7P,snRNA
Y_RNA,misc_RNA
SNORD115-48,snoRNA
Y_RNA,misc_RNA
RNY4P16,misc_RNA
RN7SKP28,misc_RNA
RNU6-1187P,snRNA
RNU6-865P,snRNA
SNORA14A,snoRNA
Y_RNA,misc_RNA
RNU4-91P,snRNA
RNY4P34,misc_RNA
RNU6-7,snRNA
RNU6-283P,snRNA
RNU12-2P,snRNA
AC095353.1,snoRNA
RNU6-60P,snRNA
Y_RNA,misc_RNA
RN7SKP6,misc_RNA
AC121343.1,snoRNA
Y_RNA,misc_RNA
RNA5SP90,rRNA_pseudogene
SNORD113-4,snoRNA
U3,snoRNA
SNORD32A,snoRNA
Y_RNA,misc_RNA
SNORD115-15,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RN7SKP239,misc_RNA
RNU6-1107P,snRNA
SNORD114-29,snoRNA
RNY1P2,misc_RNA
RNA5SP334,rRNA_pseudogene
RNVU1-24,snRNA
SNORD113-3,snoRNA
AC094019.1,snoRNA
RNA5SP396,rRNA_pseudogene
RNU6-818P,snRNA
RNA5SP359,rRNA_pseudogene
RNU6-686P,snRNA
AL132709.4,snoRNA
RNU6-1303P,snRNA
RNA5SP125,rRNA_pseudogene
RN7SKP133,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-304P,snRNA
RNA5SP173,rRNA_pseudogene
RNA5SP479,rRNA_pseudogene
AP002748.1,snoRNA
RNA5SP160,rRNA_pseudogene
RNU1-133P,snRNA
Y_RNA,misc_RNA
RNU6-563P,snRNA
RNU6-34P,snRNA
RNU6-828P,snRNA
RNU6-534P,snRNA
Y_RNA,misc_RNA
RNU6-119P,snRNA
SNORD52,snoRNA
Y_RNA,misc_RNA
RN7SKP55,misc_RNA
RNU6-336P,snRNA
RNA5SP267,rRNA_pseudogene
RNA5SP302,rRNA_pseudogene
RNU6-384P,snRNA
SNORA5C,snoRNA
Y_RNA,misc_RNA
RNU6-1325P,snRNA
Y_RNA,misc_RNA
RNU6-275P,snRNA
RN7SKP226,misc_RNA
SNORD117,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-1071P,snRNA
RNA5SP189,rRNA_pseudogene
SNORA63,snoRNA
RN7SKP9,misc_RNA
RN7SKP130,misc_RNA
RNU6-392P,snRNA
Y_RNA,misc_RNA
RNU5E-4P,snRNA
RNU6-1180P,snRNA
RNU4-8P,snRNA
AL121933.1,snoRNA
U8,snoRNA
U8,snoRNA
SNORA71,snoRNA
RNA5SP488,rRNA_pseudogene
RNU6-915P,snRNA
RNU6-526P,snRNA
SNORA73,snoRNA
RNY4P17,misc_RNA
Y_RNA,misc_RNA
RNU4-9P,snRNA
RNA5SP149,rRNA_pseudogene
SNORD48,snoRNA
RNU6-1131P,snRNA
RNU6-867P,snRNA
AC022296.1,snoRNA
Y_RNA,misc_RNA
SNORD115-1,snoRNA
SNORD114-3,snoRNA
Y_RNA,misc_RNA
RNA5SP166,rRNA_pseudogene
SNORD31B,snoRNA
Y_RNA,misc_RNA
RNU6-702P,snRNA
RNA5SP331,rRNA_pseudogene
Y_RNA,misc_RNA
RNA5SP298,rRNA_pseudogene
AC098591.1,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-294P,snRNA
RN7SKP178,misc_RNA
RNA5SP97,rRNA_pseudogene
Y_RNA,misc_RNA
AL732366.2,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-967P,snRNA
RN7SKP153,misc_RNA
SNORA72,snoRNA
SNORD114-24,snoRNA
RNY1P13,misc_RNA
RN7SKP48,misc_RNA
SNORD115-38,snoRNA
RNU6-590P,snRNA
RNU1-140P,snRNA
RN7SKP189,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-1022P,snRNA
RNA5SP442,rRNA_pseudogene
RNU1-43P,snRNA
RNA5SP485,rRNA_pseudogene
RNA5S15,rRNA
RNA5SP172,rRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNA5SP224,rRNA_pseudogene
RNA5SP363,rRNA_pseudogene
SNORD115-10,snoRNA
SNORA72,snoRNA
SNORA70,snoRNA
SNORD113-9,snoRNA
RNU6-673P,snRNA
RNY3P1,misc_RNA
AC076966.1,snoRNA
Y_RNA,misc_RNA
RNA5SP126,rRNA_pseudogene
Y_RNA,misc_RNA
RNA5-8SP4,rRNA_pseudogene
RN7SKP22,misc_RNA
RNA5SP138,rRNA_pseudogene
SNORD115-20,snoRNA
SNORA62,snoRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
SNORD115-35,snoRNA
SNORA23,snoRNA
RNA5SP428,rRNA_pseudogene
RNU1-36P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
RNU6-619P,snRNA
RNU6-806P,snRNA
Y_RNA,misc_RNA
Y_RNA,misc_RNA
